steps=619 | du=84 | best_du=254 | best_ep=416 | du_mean30=44.000 | random_action=5.00%:  62%|████████████████████████████████████████████████▎                             | 620/1000 [33:55<25:25,  4.01s/it]
steps=629 | du=13 | best_du=254 | best_ep=416 | du_mean30=40.400 | random_action=5.00%:  63%|█████████████████████████████████████████████████▏                            | 630/1000 [34:17<11:35,  1.88s/it]
steps=639 | du=30 | best_du=254 | best_ep=416 | du_mean30=39.700 | random_action=5.00%:  64%|█████████████████████████████████████████████████▉                            | 640/1000 [34:47<16:56,  2.82s/it]
steps=649 | du=16 | best_du=254 | best_ep=416 | du_mean30=36.667 | random_action=5.00%:  65%|██████████████████████████████████████████████████▋                           | 650/1000 [35:15<14:57,  2.56s/it]
steps=659 | du=32 | best_du=254 | best_ep=416 | du_mean30=37.167 | random_action=5.00%:  66%|███████████████████████████████████████████████████▍                          | 660/1000 [35:41<13:18,  2.35s/it]
steps=669 | du=24 | best_du=254 | best_ep=416 | du_mean30=35.867 | random_action=5.00%:  67%|████████████████████████████████████████████████████▎                         | 670/1000 [36:06<13:42,  2.49s/it]
steps=679 | du=53 | best_du=254 | best_ep=416 | du_mean30=38.500 | random_action=5.00%:  68%|█████████████████████████████████████████████████████                         | 680/1000 [36:43<22:38,  4.25s/it]
steps=689 | du=55 | best_du=254 | best_ep=416 | du_mean30=43.767 | random_action=5.00%:  69%|█████████████████████████████████████████████████████▊                        | 690/1000 [37:16<13:22,  2.59s/it]
steps=699 | du=53 | best_du=254 | best_ep=416 | du_mean30=47.867 | random_action=5.00%:  70%|██████████████████████████████████████████████████████▌                       | 700/1000 [37:56<21:39,  4.33s/it]
steps=709 | du=58 | best_du=254 | best_ep=416 | du_mean30=47.667 | random_action=5.00%:  71%|███████████████████████████████████████████████████████▍                      | 710/1000 [38:26<17:41,  3.66s/it]
steps=719 | du=13 | best_du=254 | best_ep=416 | du_mean30=51.633 | random_action=5.00%:  72%|████████████████████████████████████████████████████████▏                     | 720/1000 [39:11<17:30,  3.75s/it]
steps=729 | du=35 | best_du=254 | best_ep=416 | du_mean30=54.567 | random_action=5.00%:  73%|████████████████████████████████████████████████████████▉                     | 730/1000 [39:50<13:56,  3.10s/it]
steps=739 | du=52 | best_du=254 | best_ep=416 | du_mean30=58.567 | random_action=5.00%:  74%|█████████████████████████████████████████████████████████▋                    | 740/1000 [40:34<17:00,  3.93s/it]
steps=749 | du=103 | best_du=254 | best_ep=416 | du_mean30=63.767 | random_action=5.00%:  75%|█████████████████████████████████████████████████████████▊                   | 750/1000 [41:28<18:49,  4.52s/it]
steps=759 | du=39 | best_du=254 | best_ep=416 | du_mean30=62.367 | random_action=5.00%:  76%|███████████████████████████████████████████████████████████▎                  | 760/1000 [42:07<14:10,  3.55s/it]
steps=769 | du=23 | best_du=254 | best_ep=416 | du_mean30=60.233 | random_action=5.00%:  77%|████████████████████████████████████████████████████████████                  | 770/1000 [42:42<10:54,  2.85s/it]
steps=779 | du=38 | best_du=254 | best_ep=416 | du_mean30=49.100 | random_action=5.00%:  78%|████████████████████████████████████████████████████████████▊                 | 780/1000 [43:16<12:42,  3.46s/it]
steps=789 | du=27 | best_du=254 | best_ep=416 | du_mean30=43.133 | random_action=5.00%:  79%|█████████████████████████████████████████████████████████████▌                | 790/1000 [43:41<07:11,  2.06s/it]
steps=799 | du=40 | best_du=254 | best_ep=416 | du_mean30=39.400 | random_action=5.00%:  80%|██████████████████████████████████████████████████████████████▍               | 800/1000 [44:10<08:40,  2.60s/it]
steps=809 | du=31 | best_du=254 | best_ep=416 | du_mean30=39.233 | random_action=5.00%:  81%|███████████████████████████████████████████████████████████████▏              | 810/1000 [44:43<09:34,  3.02s/it]
steps=819 | du=16 | best_du=254 | best_ep=416 | du_mean30=39.500 | random_action=5.00%:  82%|███████████████████████████████████████████████████████████████▉              | 820/1000 [45:10<06:55,  2.31s/it]
steps=829 | du=32 | best_du=254 | best_ep=416 | du_mean30=40.067 | random_action=5.00%:  83%|████████████████████████████████████████████████████████████████▋             | 830/1000 [45:41<10:34,  3.73s/it]
steps=839 | du=39 | best_du=254 | best_ep=416 | du_mean30=39.833 | random_action=5.00%:  84%|█████████████████████████████████████████████████████████████████▌            | 840/1000 [46:12<08:59,  3.37s/it]
steps=849 | du=14 | best_du=254 | best_ep=416 | du_mean30=46.133 | random_action=5.00%:  85%|██████████████████████████████████████████████████████████████████▎           | 850/1000 [46:51<07:57,  3.19s/it]
steps=859 | du=15 | best_du=254 | best_ep=416 | du_mean30=39.567 | random_action=5.00%:  86%|███████████████████████████████████████████████████████████████████           | 860/1000 [47:06<03:56,  1.69s/it]
